module,module_display,category,n_module_genes,n_targets_A,n_targets_B,n_union,n_overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity,mirA,mirB
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,44,31,69,6,0.07719298245614035,0.054385964912280704,0.12105263157894737,0.043859649122807015,0.9130434782608696,hsa-miR-19b-3p,hsa-miR-449b-5p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,47,31,71,7,0.16040955631399317,0.10580204778156997,0.24232081911262798,0.08191126279863481,0.9014084507042254,hsa-miR-19b-3p,hsa-miR-449b-5p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,71,31,94,8,0.1655011655011655,0.07226107226107226,0.2191142191142191,0.0536130536130536,0.9148936170212766,hsa-miR-19b-3p,hsa-miR-449b-5p
Retinoid response,Retinoid response (GO),nb_differentiation,89,8,4,12,0,0.0898876404494382,0.0449438202247191,0.1348314606741573,0.0449438202247191,1.0,hsa-miR-19b-3p,hsa-miR-449b-5p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,44,0,44,0,0.07719298245614035,0.0,0.07719298245614035,0.0,1.0,hsa-miR-19b-3p,hsa-miR-2110
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,47,0,47,0,0.16040955631399317,0.0,0.16040955631399317,0.0,1.0,hsa-miR-19b-3p,hsa-miR-2110
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,71,0,71,0,0.1655011655011655,0.0,0.1655011655011655,0.0,1.0,hsa-miR-19b-3p,hsa-miR-2110
Retinoid response,Retinoid response (GO),nb_differentiation,89,8,0,8,0,0.0898876404494382,0.0,0.0898876404494382,0.0,1.0,hsa-miR-19b-3p,hsa-miR-2110
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,44,31,69,6,0.07719298245614035,0.054385964912280704,0.12105263157894737,0.043859649122807015,0.9130434782608696,hsa-miR-19b-3p,hsa-miR-34b-5p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,47,31,71,7,0.16040955631399317,0.10580204778156997,0.24232081911262798,0.08191126279863481,0.9014084507042254,hsa-miR-19b-3p,hsa-miR-34b-5p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,71,31,94,8,0.1655011655011655,0.07226107226107226,0.2191142191142191,0.0536130536130536,0.9148936170212766,hsa-miR-19b-3p,hsa-miR-34b-5p
